DATE,INDPRO,IPMANSICS,IPCONGD,IPMINE,IPDCONGD,IPBUSEQ,IPMAT,CPIAUCSL,FEDFUNDS
1980-01-01,0.81320,0.56697,-3.41931,5.70411,-10.78439,6.75015,0.73944,13.86861,13.82
1980-02-01,0.35787,0.14319,-2.43681,4.49270,-10.36752,6.13879,-0.29004,14.16185,14.13
1980-03-01,-0.37121,-1.19694,-3.59482,5.09758,-11.78447,4.43264,-0.53107,14.59227,17.19
1980-04-01,-1.17954,-1.55129,-3.30478,2.54756,-11.03746,5.58468,-2.26269,14.58924,17.61
1980-05-01,-4.44511,-5.76210,-6.03264,3.09889,-19.21177,0.96448,-5.65094,14.42577,10.98
1980-06-01,-5.69299,-7.36702,-6.23167,2.57716,-19.70155,-0.65556,-7.33866,14.26593,9.47
1980-07-01,-6.21280,-8.37033,-5.47905,1.81641,-18.73377,-1.59926,-8.50294,13.15068,9.03
1980-08-01,-5.29574,-6.58239,-4.06932,-2.24878,-14.32865,-0.61738,-7.69155,12.89009,9.61
1980-09-01,-3.70797,-5.11173,-3.64738,-0.09797,-13.39844,-1.00702,-5.20128,12.76882,10.87
1980-10-01,-3.15444,-3.91235,-3.26948,-1.77039,-11.43247,1.77188,-4.85189,12.63298,12.81
1980-11-01,-1.38126,-1.90809,-2.58405,-0.27174,-7.72790,3.54459,-2.48829,12.63158,15.85
1980-12-01,-0.79815,-1.76776,-2.59206,1.95697,-8.73325,3.25877,-1.32070,12.35371,18.90
1981-01-01,-1.94671,-2.68819,-2.24587,-1.16332,-7.35698,1.55756,-3.27976,11.79487,19.08
1981-02-01,-2.38553,-3.07935,-2.71670,1.18268,-6.89018,-0.12913,-3.32878,11.39241,15.93
1981-03-01,-1.47801,-1.94157,-2.02872,1.20347,-3.91411,1.74957,-2.59190,10.61174,14.70
1981-04-01,0.09148,0.64733,-0.14931,-3.00776,1.64864,3.97669,-1.47715,10.13597,15.72
1981-05-01,3.19060,4.19466,3.01746,-2.39394,10.36652,5.61277,2.00178,9.79192,18.52
1981-06-01,5.08433,5.38211,2.87792,2.19251,11.26879,6.48065,5.26438,9.69697,19.10
1981-07-01,6.52661,6.64230,3.60395,7.28134,12.02111,6.65548,7.53559,10.77482,19.04
1981-08-01,6.05337,5.88621,3.19967,9.64342,10.21906,6.68575,7.04552,10.81731,17.82
1981-09-01,3.81153,3.77346,1.49737,6.97892,2.94936,4.64567,4.14328,10.96544,15.87
1981-10-01,1.71744,0.91668,1.24091,6.59985,0.66550,2.42460,1.25778,10.27155,15.08
1981-11-01,-1.11212,-2.08377,0.60557,3.73614,-3.47804,-0.79734,-2.69696,9.57944,13.31
1981-12-01,-2.82576,-4.10686,-0.45755,1.53905,-6.39875,-2.60841,-4.95198,8.91204,12.37
1982-01-01,-4.21163,-6.08051,-2.28665,1.57490,-8.58417,-6.56748,-5.43218,8.25688,13.22
1982-02-01,-1.85278,-2.90640,0.66285,1.43242,-4.90965,-2.05502,-4.13481,7.61364,14.78
1982-03-01,-3.00683,-3.91120,0.16885,-0.30461,-6.54494,-4.14792,-5.31126,6.88488,14.68
1982-04-01,-3.49603,-5.18189,-0.18494,3.04525,-5.97509,-6.69264,-5.25505,6.62177,14.94
1982-05-01,-4.67788,-5.82157,-1.10129,0.78240,-7.46152,-7.29127,-6.81833,6.91193,14.45
1982-06-01,-5.41665,-5.45800,0.29052,-4.71845,-5.94097,-8.60685,-8.37720,7.18232,14.15
1982-07-01,-6.34589,-5.76187,-0.17513,-8.99679,-5.91692,-9.01133,-9.57979,6.55738,12.59
1982-08-01,-7.07904,-6.58895,-0.43990,-9.98267,-6.64163,-11.16515,-10.36948,5.96529,10.12
1982-09-01,-6.87339,-6.42114,0.21816,-10.31621,-5.76737,-11.62102,-10.10241,4.94092,10.31
1982-10-01,-7.04428,-6.63692,-0.21454,-10.03647,-6.59066,-13.40431,-9.93726,5.03212,9.71
1982-11-01,-6.24928,-5.95229,-0.20064,-9.48531,-4.97873,-12.28451,-8.67580,4.47761,9.20
1982-12-01,-5.89717,-4.64664,-0.45546,-10.52740,-0.69614,-10.05934,-8.27693,3.82572,8.95
1983-01-01,-2.14788,0.03618,3.60851,-8.57256,6.61317,-6.27573,-4.59606,3.70763,8.68
1983-02-01,-4.69128,-2.80543,-0.50256,-11.32613,2.42562,-9.88133,-5.97394,3.48469,8.51
1983-03-01,-3.24606,-1.18901,0.48187,-11.72420,4.33329,-7.86159,-4.52686,3.59029,8.77
1983-04-01,-1.10836,0.81084,2.63273,-8.91161,4.70310,-6.21877,-2.13841,4.00000,8.80
1983-05-01,0.16459,2.17795,2.90008,-7.83468,6.73720,-4.47102,-0.30772,3.44108,8.63
1983-06-01,1.03396,3.06139,2.57712,-6.28982,7.86398,-2.01741,0.69295,2.47423,8.98
1983-07-01,2.88647,4.65133,3.65737,-4.32883,9.79389,0.25495,3.04898,2.35897,9.37
1983-08-01,5.06027,6.52279,4.87740,-2.73087,13.52750,3.89739,5.62335,2.45650,9.56
1983-09-01,6.85951,8.65769,6.22258,-1.12226,17.15760,7.17150,7.51714,2.76356,9.45
1983-10-01,8.72660,11.17109,5.57586,0.21524,20.40991,10.94641,10.25574,2.75229,9.48
1983-11-01,9.56028,12.33997,5.94137,0.49167,20.56605,12.57158,11.28337,3.16327,9.34
1983-12-01,10.89281,12.96968,7.44585,0.57837,23.41688,12.48027,12.76480,3.78710,9.47
1984-01-01,11.03691,12.40154,7.25785,4.29335,21.02163,14.84919,12.57075,4.29009,9.56
1984-02-01,12.22423,13.70028,8.40849,5.22214,21.84611,16.24041,13.53179,4.69388,9.59
1984-03-01,11.83088,13.15834,8.35654,5.79413,20.36033,16.15915,13.02131,4.89297,9.91
1984-04-01,11.09430,12.33266,6.43714,6.76910,17.48834,16.89926,12.38889,4.55466,10.29
1984-05-01,11.00252,11.38313,5.72064,8.85984,14.24571,16.09317,12.44223,4.33468,10.32
1984-06-01,10.73355,11.03034,5.31704,8.99939,12.60774,16.49094,11.89152,4.32596,11.06
1984-07-01,9.41216,9.92255,3.91387,10.16485,11.13043,15.76187,10.45350,4.30862,11.23
1984-08-01,8.25967,9.20941,2.48982,8.03581,9.76292,15.75669,8.79943,4.29570,11.64
1984-09-01,6.41155,6.86074,0.88517,8.02753,6.33540,12.87700,6.83818,4.28287,11.30
1984-10-01,5.54902,6.34329,2.37543,3.45727,4.09448,12.50875,4.58553,4.26587,9.99
1984-11-01,5.42913,6.07341,2.50612,3.53272,5.57093,12.22468,4.35904,4.15430,9.43
1984-12-01,4.96124,6.06207,2.85261,4.85267,4.29436,11.78565,3.60704,4.04339,8.38
1985-01-01,2.86405,3.99857,0.25960,-2.19458,0.75397,9.22604,1.82838,3.52595,8.35
1985-02-01,2.70148,2.47552,1.04087,0.73739,-0.54663,7.54832,1.55578,3.60624,8.50
1985-03-01,2.36343,2.80989,0.58403,1.74007,0.30280,7.66305,0.88831,3.79009,8.58
1985-04-01,1.52982,1.92730,-0.23414,-0.47754,-0.93637,5.77032,0.17847,3.58180,8.27
1985-05-01,1.16281,1.84380,0.31236,-1.75882,0.00302,5.53354,-0.46307,3.57488,7.97
1985-06-01,0.74299,1.39762,0.66039,-2.04241,-0.58962,4.57328,-0.99383,3.66442,7.53
1985-07-01,-0.04076,0.58841,0.38369,-5.32596,-1.48346,2.68310,-1.85255,3.45821,7.88
1985-08-01,0.16176,0.86050,1.33049,-4.49392,-1.08441,1.80507,-1.65832,3.35249,7.90
1985-09-01,0.81866,1.27183,2.15921,-4.01041,0.18455,1.37241,-0.63058,3.24737,7.92
1985-10-01,0.50674,0.49572,1.12167,-1.41956,0.44228,0.40616,-0.40599,3.23501,7.99
1985-11-01,0.51954,0.90460,1.40117,-2.69933,1.38331,0.48040,-0.60276,3.51377,8.05
1985-12-01,1.46584,0.98602,1.86029,-0.82877,0.38328,-0.33552,1.11126,3.79147,8.27
1986-01-01,2.05091,2.37173,3.65263,1.23892,4.06083,0.08932,0.94205,3.97351,8.14
1986-02-01,1.05381,2.20051,2.18162,-1.97701,4.32627,-0.25683,0.31425,3.19849,7.86
1986-03-01,0.19263,1.05977,1.87986,-4.82997,3.12709,-1.42159,-0.60647,2.15356,7.48
1986-04-01,0.52757,1.91099,3.15717,-7.78317,4.53141,-1.15467,-0.73950,1.58879,6.99
1986-05-01,0.54860,1.83181,3.50901,-8.48047,4.63313,-1.59414,-0.79689,1.67910,6.85
1986-06-01,0.21020,1.36962,3.15786,-9.82592,6.11083,-2.71929,-1.02440,1.76744,6.92
1986-07-01,1.34193,2.33856,4.11698,-8.63093,7.29390,-1.59061,0.26330,1.67131,6.56
1986-08-01,0.84322,2.09268,3.56544,-9.30790,6.59578,-1.75801,-0.30728,1.57553,6.17
1986-09-01,0.74615,2.33125,3.23816,-11.05030,7.69902,-1.23931,-0.41945,1.75763,5.89
1986-10-01,1.53068,2.93695,3.78625,-9.87475,8.29084,-1.36557,0.75105,1.56682,5.85
1986-11-01,1.57629,2.62478,3.88535,-7.65584,7.18193,-2.26804,1.05638,1.28440,6.04
1986-12-01,1.54005,3.28179,4.00004,-9.45778,9.06448,-0.97552,0.48342,1.18721,6.91
1987-01-01,0.62144,1.70499,1.67638,-8.41864,5.61176,-1.12689,0.12298,1.36488,6.43
1987-02-01,2.66705,3.81169,3.92965,-7.05801,8.27601,2.18811,1.75109,1.91431,6.10
1987-03-01,3.53691,4.24444,4.55037,-4.92320,7.88054,2.15943,3.03788,2.84143,6.13
1987-04-01,4.09575,4.37799,3.72860,-0.89864,7.32795,3.70948,4.22744,3.67985,6.37
1987-05-01,4.54670,4.95370,3.96774,-0.60413,7.94297,4.75871,4.63756,3.66972,6.85
1987-06-01,5.51600,5.83948,4.25311,1.70690,5.69606,6.52539,5.98948,3.74771,6.73
1987-07-01,5.57417,6.06509,4.32852,2.49085,4.21331,6.66254,5.92669,3.92694,6.58
1987-08-01,6.54736,6.37677,4.94501,5.71410,4.77703,8.22729,7.19755,4.28832,6.73
1987-09-01,6.67304,6.83332,4.50862,6.98554,4.84642,9.65210,7.23399,4.27273,7.22
1987-10-01,7.64873,7.96187,5.86807,7.20972,8.14050,12.17517,7.97392,4.35572,7.29
1987-11-01,7.75788,8.15837,5.18302,6.54618,6.48461,12.91531,8.51415,4.52899,6.69
1987-12-01,7.32425,7.81036,4.35473,6.63881,3.69315,12.97043,8.22272,4.33213,6.77
1988-01-01,7.71176,7.94971,5.89702,4.25767,3.98944,12.99487,8.05697,4.12926,6.83
1988-02-01,6.82955,6.69616,4.98317,4.53100,2.03953,11.36703,7.25672,3.93560,6.58
1988-03-01,6.92017,6.89456,4.59145,5.78836,3.22709,12.71176,7.47302,3.83244,6.58
1988-04-01,6.86019,7.21353,5.57598,4.56051,6.24300,13.02695,7.11315,3.99290,6.87
1988-05-01,5.98150,6.18502,4.18424,5.71197,5.40254,12.54786,6.60908,3.98230,7.09
1988-06-01,5.72392,5.96021,3.92144,4.52336,6.91777,12.75270,6.29966,3.96476,7.51
1988-07-01,5.02884,5.07275,3.14774,3.83106,4.74573,10.82763,5.73965,4.13005,7.75
1988-08-01,4.76956,4.66675,3.30308,1.81211,4.47055,9.73854,5.48916,4.11199,8.01
1988-09-01,4.02266,4.25347,2.91454,0.11415,5.39058,9.12382,4.55070,4.18483,8.19
1988-10-01,3.09544,3.22423,1.98190,-0.55332,3.19572,7.63534,3.47867,4.26087,8.30
1988-11-01,2.84904,3.04634,2.15762,-1.11063,4.63233,7.20197,2.86100,4.24610,8.35
1988-12-01,2.75261,2.87303,2.44831,-1.35755,6.67868,6.38274,2.78707,4.41176,8.76
1989-01-01,3.08196,3.92717,2.12452,-0.20655,9.67600,7.29104,3.44307,4.48276,9.12
1989-02-01,2.11080,2.58895,1.67583,-2.36350,8.67788,5.99542,2.21954,4.64716,9.36
1989-03-01,2.14931,2.24395,2.00851,-2.33210,6.29760,4.34281,2.28868,4.89270,9.85
1989-04-01,1.50700,1.47020,0.93819,0.04151,4.65221,4.68603,1.40462,5.03413,9.84
1989-05-01,1.15243,0.97519,0.60659,-0.44140,2.56891,2.88478,1.17339,5.27660,9.81
1989-06-01,0.85708,0.91154,0.61826,-1.53499,0.87903,3.39159,0.27740,5.16949,9.53
1989-07-01,-0.13307,-0.21603,-1.55318,-1.75239,-0.32547,2.92487,-0.26146,5.06329,9.24
1989-08-01,0.33769,0.56557,-0.48745,-1.00199,2.76857,3.93964,-0.12957,4.62185,8.99
1989-09-01,0.32785,0.01596,-0.21792,0.24252,0.83427,2.50361,-0.10110,4.43515,9.02
1989-10-01,-0.23948,-0.65773,-0.77416,-0.74226,-1.95841,0.43224,-0.15376,4.58716,8.84
1989-11-01,-0.15688,-0.80286,-0.55671,-0.01515,-2.47445,0.87505,-0.20257,4.65503,8.55
1989-12-01,-0.04243,-1.24465,0.52167,-2.67260,-2.58042,1.90102,-0.81984,4.63960,8.45
1990-01-01,-0.85655,-2.06364,-1.64978,2.20739,-9.94967,0.00931,-1.27532,5.19802,8.23
1990-02-01,0.49037,0.23333,-0.45600,3.19142,-3.47018,2.17841,0.32972,5.26316,8.24
1990-03-01,0.71039,0.81172,-0.00274,1.53680,-0.20917,4.41413,0.08934,5.23732,8.28
1990-04-01,0.51944,0.27413,-0.18699,-0.03839,-3.17186,2.28915,0.38192,4.71162,8.26
1990-05-01,1.37500,1.34601,0.61638,-0.48712,-0.32688,5.12809,0.94049,4.36540,8.18
1990-06-01,1.72196,1.52302,1.68735,0.53670,2.28216,3.85652,1.52860,4.67365,8.29
1990-07-01,2.54364,2.51575,3.10445,1.73125,2.69298,5.72003,1.96657,4.81928,8.15
1990-08-01,1.92219,1.93739,1.66628,0.32648,-1.17438,4.84034,1.89434,5.70281,8.13
1990-09-01,2.28451,2.00095,2.71770,0.91214,-0.77503,5.24697,2.08644,6.16987,8.20
1990-10-01,1.78481,1.58247,1.10178,2.71939,-2.25378,6.52725,1.47315,6.37959,8.11
1990-11-01,0.17757,0.14646,-0.46329,1.23476,-8.21988,3.27641,-0.08407,6.19539,7.81
1990-12-01,-1.08185,-0.67178,-2.78375,2.48754,-10.73549,0.96772,-0.69144,6.25495,7.31
1991-01-01,-0.89397,-1.24241,-0.20539,-2.18458,-5.42562,1.61316,-1.02226,5.64706,6.91
1991-02-01,-2.50245,-3.25325,-2.35941,0.21323,-12.99066,-0.83854,-2.46744,5.31250,6.25
1991-03-01,-3.51135,-4.45629,-2.92684,-0.01004,-14.16080,-2.61765,-3.40734,4.82115,6.12
1991-04-01,-3.04517,-3.66166,-2.52899,-1.45075,-10.23420,-2.03151,-2.97274,4.80993,5.91
1991-05-01,-2.36123,-3.29119,-0.75186,-1.60643,-9.45204,-2.76124,-2.32117,5.03486,5.78
1991-06-01,-1.90684,-2.70743,-0.62356,-1.12240,-8.40818,-1.83110,-1.93140,4.69592,5.90
1991-07-01,-1.47406,-1.96830,-0.00811,-2.77705,-3.96207,-1.68166,-1.12970,4.36782,5.82
1991-08-01,-1.81564,-2.20185,-0.34893,-2.52026,-5.25770,-2.67110,-1.77287,3.79939,5.66
1991-09-01,-1.02888,-1.03762,0.42179,-2.95302,-1.67421,-1.26851,-1.02954,3.39623,5.45
1991-10-01,-0.52082,-0.48622,1.56956,-4.04364,1.19463,-1.73395,-0.41393,2.84858,5.21
1991-11-01,0.60258,0.50462,2.89397,-4.16585,7.34045,0.63740,0.39930,3.06657,4.81
1991-12-01,0.84437,1.03146,2.35910,-2.11905,8.26173,1.33673,1.08400,2.98063,4.43
1992-01-01,0.65172,1.10427,0.89651,-2.35220,3.43217,-0.10555,1.52525,2.67261,4.03
1992-02-01,2.11169,2.73086,2.91597,-5.06086,10.46567,2.70049,2.53121,2.81899,4.06
1992-03-01,3.55406,4.58627,3.78564,-3.73936,12.19386,4.01767,4.23627,3.18991,3.98
1992-04-01,4.08172,4.70532,4.76419,-1.61901,11.81522,4.99296,4.52489,3.18283,3.73
1992-05-01,3.38707,4.60002,3.64771,-1.56772,13.36050,5.12219,3.59364,3.02360,3.82
1992-06-01,2.61732,3.98703,1.89535,-2.82150,8.98693,4.26723,3.48390,3.01471,3.76
1992-07-01,3.26425,4.37271,3.49588,-0.49812,9.96992,4.70367,3.41042,3.15712,3.25
1992-08-01,2.67508,3.72129,3.52268,-1.98843,10.60592,4.64246,2.33774,3.07467,3.30
1992-09-01,2.16351,2.83746,1.61341,-1.45747,5.87828,3.60006,2.62426,2.99270,3.22
1992-10-01,2.96919,3.53465,3.21312,-0.82642,8.63201,4.69503,2.98381,3.27988,3.10
1992-11-01,3.50044,4.13083,3.22297,-0.11467,9.23292,5.49451,4.01562,3.12046,3.09
1992-12-01,4.13212,4.34822,4.59961,-0.29083,11.33662,6.63652,3.98032,2.96671,2.92
1993-01-01,5.09285,5.91470,6.18055,-0.55726,18.05856,8.85676,4.47940,3.25380,3.02
1993-02-01,4.85633,5.28628,5.23262,0.21581,12.78885,6.80459,4.80456,3.24675,3.03
1993-03-01,3.87955,4.01068,4.35310,-0.77851,11.16470,5.82563,3.59731,3.01941,3.07
1993-04-01,3.37318,3.92780,3.45716,-1.75547,9.65476,5.51818,3.20301,3.15638,2.96
1993-05-01,2.65149,3.20414,2.05755,-1.48940,6.45511,4.82002,2.76697,3.22119,3.00
1993-06-01,2.82637,2.75165,2.76529,0.55041,6.99862,3.80967,2.88382,2.99786,3.04
1993-07-01,2.16428,2.04425,2.25612,-1.82853,4.09815,2.77964,2.01692,2.84698,3.06
1993-08-01,2.62211,2.33360,2.10073,-0.09235,3.90858,2.32548,3.27692,2.84091,3.03
1993-09-01,2.81756,2.88674,2.84441,0.09079,6.45097,3.62042,2.82831,2.76400,3.09
1993-10-01,2.88232,3.15455,2.00192,0.90328,6.86523,5.45006,3.06632,2.75229,2.99
1993-11-01,2.96719,3.27572,1.98539,0.97727,6.92584,5.27814,3.26719,2.74455,3.02
1993-12-01,3.40771,3.96516,2.23687,1.01356,6.40845,4.98382,4.10204,2.81096,2.96
1994-01-01,3.32067,3.09180,2.32334,0.44052,6.48193,5.10441,3.85026,2.45098,3.05
1994-02-01,2.88897,2.95435,2.41266,1.62705,6.78776,3.99187,3.46580,2.51572,3.25
1994-03-01,4.02034,4.49775,3.22969,3.64405,7.17358,4.88032,4.86774,2.65178,3.34
1994-04-01,4.34855,4.92908,3.48126,2.62666,8.05269,4.90013,5.23439,2.36439,3.56
1994-05-01,5.22588,5.65715,4.78806,2.92090,8.25429,5.05425,6.31028,2.28849,4.01
1994-06-01,5.69290,6.09835,5.34944,1.78689,10.22980,6.42854,6.53338,2.49480,4.25
1994-07-01,5.55562,6.26120,3.97877,2.86918,10.66016,7.62712,6.97423,2.69896,4.26
1994-08-01,6.37449,7.42117,5.45851,2.74059,13.72830,9.03572,7.58932,2.90055,4.47
1994-09-01,6.14701,7.10021,4.53117,1.37931,11.74176,8.23834,7.78178,2.96552,4.73
1994-10-01,6.21684,7.20655,5.05267,-0.22776,10.34137,7.80478,7.57574,2.60989,4.76
1994-11-01,6.43679,7.56864,4.99485,0.61077,9.22076,8.57139,7.79287,2.60274,5.29
1994-12-01,6.87301,8.07050,5.53026,1.31875,9.67350,8.92629,8.35696,2.59740,5.45
1995-01-01,6.74724,8.14982,4.63719,1.95233,8.50890,9.07333,8.51376,2.87081,5.53
1995-02-01,6.54757,7.73353,4.65732,1.00785,8.02366,10.13367,7.89101,2.86299,5.92
1995-03-01,5.64574,6.62844,3.72229,-1.66850,6.79274,9.99274,6.87103,2.78722,5.98
1995-04-01,4.83729,5.33723,2.88614,-0.41216,5.07521,9.09551,6.18967,3.12500,6.05
1995-05-01,4.85826,5.12807,2.69919,-0.47353,3.95149,10.17706,5.92403,3.11864,6.01
1995-06-01,4.49807,5.29497,2.37569,-0.43436,3.57453,10.93427,5.15525,3.04260,6.00
1995-07-01,3.93079,4.19850,2.30247,0.30856,1.09952,9.11871,4.36155,2.83019,5.85
1995-08-01,4.60209,4.49701,2.54077,-0.94084,2.54492,10.82367,4.87699,2.61745,5.74
1995-09-01,4.69900,5.00651,3.33740,0.82594,3.28805,10.80631,4.73389,2.54521,5.80
1995-10-01,3.68223,3.89923,1.36870,-0.19181,0.83146,8.82037,4.34347,2.74431,5.76
1995-11-01,3.24895,3.14300,1.62011,0.03888,1.02981,7.86015,3.61833,2.60347,5.80
1995-12-01,2.58199,2.37194,1.12527,-1.31169,0.67987,7.63624,2.71498,2.53165,5.60
1996-01-01,1.83502,1.54594,0.18474,-2.38283,-2.41345,5.85744,2.39671,2.79070,5.56
1996-02-01,3.43502,3.26542,1.47522,-0.62210,0.72535,8.42185,3.89866,2.71703,5.22
1996-03-01,3.13484,2.75820,0.90690,2.03786,-2.23960,7.13100,3.73973,2.84392,5.31
1996-04-01,4.35015,4.37316,2.29962,2.23753,2.62717,9.94668,4.64396,2.83267,5.22
1996-05-01,4.63568,4.81786,2.12253,1.57436,3.91133,10.03740,5.14666,2.82709,5.24
1996-06-01,5.07425,5.30086,2.42005,3.25140,5.48246,10.26399,5.85987,2.82152,5.27
1996-07-01,5.51619,6.47868,2.44530,2.02021,8.12423,12.22797,6.27806,2.88336,5.40
1996-08-01,4.67499,5.72757,0.58311,3.49296,3.63585,10.63782,5.96861,2.81230,5.22
1996-09-01,4.92180,5.61154,1.42076,2.40284,3.68821,10.83232,5.95633,3.00457,5.30
1996-10-01,5.07641,5.63362,1.79706,3.29109,2.60120,10.68262,5.98479,3.06189,5.24
1996-11-01,5.74872,6.47618,2.65819,1.87110,3.96073,11.91972,6.43392,3.25309,5.31
1996-12-01,6.04875,7.02923,2.56267,2.34487,4.82696,13.05209,6.81301,3.37882,5.29
1997-01-01,6.81028,7.86827,3.49488,3.54845,6.96323,14.89444,7.20920,3.03814,5.25
1997-02-01,6.52643,7.78610,2.52449,3.89594,5.98000,13.96346,7.33751,3.03226,5.19
1997-03-01,7.35315,9.06670,3.89742,2.84989,10.85516,15.93277,7.87103,2.76527,5.39
1997-04-01,6.37812,7.65815,1.94954,1.31436,3.26718,14.10421,7.27897,2.43434,5.51
1997-05-01,6.16915,7.56012,2.53863,2.97223,3.88997,13.84886,6.75164,2.23785,5.50
1997-06-01,5.87017,7.24597,1.72401,0.78109,3.74973,14.00624,6.66549,2.23357,5.56
1997-07-01,6.75672,7.59927,3.22407,1.25737,3.45914,13.26562,7.67835,2.16561,5.52
1997-08-01,7.29556,8.44217,4.48691,1.13999,6.93028,15.22529,7.80703,2.29008,5.54
1997-09-01,7.61181,8.59215,4.21289,1.66404,6.58790,14.90401,8.56657,2.21940,5.54
1997-10-01,8.59390,9.70453,6.43493,1.17926,10.37288,16.79243,8.68990,2.08597,5.50
1997-11-01,8.49146,9.80733,5.40156,0.96926,11.54427,17.12878,9.17126,1.89036,5.52
1997-12-01,8.27996,9.43757,4.84041,1.31087,9.68255,15.83717,9.14278,1.69705,5.50
1998-01-01,8.56999,10.12373,5.56266,4.41426,10.86770,16.70870,9.06427,1.63112,5.56
1998-02-01,7.49896,8.82026,4.84101,1.05761,8.86308,15.36032,7.70639,1.44020,5.51
1998-03-01,6.87065,7.61631,4.17120,-0.70466,7.74283,14.25533,7.16010,1.37672,5.49
1998-04-01,7.15214,8.20147,5.91704,0.82979,10.86950,13.52564,6.94256,1.43840,5.45
1998-05-01,7.24805,8.01216,5.49472,-0.14709,10.55245,12.99608,7.32359,1.68856,5.49
1998-06-01,6.12027,6.53927,4.47952,-1.65295,3.41068,11.31770,5.86186,1.62297,5.56
1998-07-01,4.81927,5.28237,2.57303,-2.81688,-0.80792,9.96332,4.40937,1.74564,5.54
1998-08-01,5.90422,6.52771,4.56288,-2.46930,8.42652,10.84905,5.40552,1.61692,5.55
1998-09-01,4.83905,5.44928,3.07924,-6.18227,7.69305,9.99206,4.47238,1.42680,5.51
1998-10-01,4.62197,5.37796,1.83514,-4.38645,8.14074,9.67606,4.99465,1.48607,5.07
1998-11-01,3.69724,4.50236,0.92341,-3.53135,5.26076,7.77876,3.98680,1.48423,4.83
1998-12-01,3.67314,4.56229,1.28362,-6.23440,6.30883,7.28300,4.09358,1.60692,4.68
1999-01-01,3.64096,4.03671,1.85784,-8.80692,5.84929,5.86976,4.03989,1.66667,4.63
1999-02-01,4.05591,4.75779,2.41302,-8.20861,6.90721,6.23722,4.67673,1.66667,4.76
1999-03-01,4.23336,4.91710,2.12213,-7.56523,6.37251,5.68647,5.47803,1.72840,4.81
1999-04-01,4.10509,4.79835,1.33068,-8.46124,7.12953,6.00876,5.71016,2.28113,4.74
1999-05-01,4.06355,5.06051,1.85699,-8.69699,7.29526,6.43115,5.46595,2.09102,4.74
1999-06-01,4.61663,5.59343,1.96271,-6.40620,11.91386,6.01676,6.83920,1.96560,4.76
1999-07-01,5.64981,6.48197,2.51043,-4.39524,16.96226,7.41179,8.67369,2.14461,4.99
1999-08-01,3.97193,4.60780,0.96442,-4.65583,7.12159,4.93672,6.56037,2.26438,5.07
1999-09-01,3.63723,4.29857,0.83229,-1.71757,5.42474,4.40973,6.09442,2.62997,5.22
1999-10-01,4.24975,4.92660,2.45334,-1.70608,7.02128,4.06181,6.43180,2.56254,5.20
1999-11-01,4.90259,5.50503,3.11529,-0.96314,6.52424,4.16852,7.41932,2.62035,5.42
